X,Y,Victim,Weapon
3128,237,VRX ProfPanda#Vyrox,Ghost
535,2361,VRX Kawii#ECHO,Ghost
3924,2652,VRX Saizsu#SRG,Ghost
2526,-502,Fruchtig#FOKUS,Classic
1343,2673,SirBrainz#3745,Classic
3353,1753,Gengar#0960,Ghost
3191,1552,Trashies#6767,Ghost
-140,3851,Umbra#0202,Ghost
966,-3996,Fruchtig#FOKUS,Bulldog
3075,-3555,VRX ProfPanda#Vyrox,Bulldog
2641,-4531,Umbra#0202,Classic
739,2547,VRX Kawii#ECHO,Spectre
2671,-4621,SirBrainz#3745,Spectre
2641,-3557,VRX Saizsu#SRG,Headhunter
2588,3934,Noctis#7705,Vandal
554,3359,Gengar#0960,Vandal
832,5744,Trashies#6767,Vandal
2373,3442,VRX Kawii#ECHO,Guardian
4556,3342,SirBrainz#3745,Guardian
249,5063,Fruchtig#FOKUS,Bulldog
906,5423,Luggi#IGL,Vandal
3964,4156,Umbra#0202,Vandal
1011,-1134,SirBrainz#3745,Vandal
2772,532,VRX Saizsu#SRG,Vandal
739,-869,VRX ProfPanda#Vyrox,Phantom
-1753,105,Umbra#0202,Guardian
-151,3425,VRX Kawii#ECHO,Vandal
688,-762,VRX ProfPanda#Vyrox,Vandal
3778,-1292,SirBrainz#3745,Overdrive
3291,-1806,Umbra#0202,Vandal
77,-3004,Noctis#7705,Vandal
4098,-1957,VRX Saizsu#SRG,Vandal
165,-3343,Fruchtig#FOKUS,Phantom
3566,-1353,Trashies#6767,Spectre
595,-4568,Luggi#IGL,Vandal
693,-4633,VRX Kawii#ECHO,Classic
-1864,-5578,Gengar#0960,Bomb
2839,3662,VRX Kawii#ECHO,Vandal
2343,5235,Trashies#6767,Vandal
2770,2429,Noctis#7705,Vandal
3167,2153,Fruchtig#FOKUS,Vandal
-649,3967,VRX ProfPanda#Vyrox,Vandal
-1317,980,VRX Saizsu#SRG,Vandal
2803,-565,VRX ProfPanda#Vyrox,Vandal
2557,3442,VRX Kawii#ECHO,Vandal
-1207,-3018,Fruchtig#FOKUS,Phantom
-2400,-2409,Luggi#IGL,Stinger
2364,-51,SirBrainz#3745,Tour De Force
-2850,2957,VRX Kawii#ECHO,Phantom
1585,2770,SirBrainz#3745,Phantom
3158,389,VRX Saizsu#SRG,Vandal
1757,-4948,Fruchtig#FOKUS,Phantom
751,-4364,Noctis#7705,Vandal
27,-4039,VRX ProfPanda#Vyrox,Vandal
-1883,-1767,SirBrainz#3745,Vandal
-1422,-1745,VRX Kawii#ECHO,Vandal
-1185,-5507,Trashies#6767,Judge
-1307,-3679,Noctis#7705,Vandal
-1423,-4153,Fruchtig#FOKUS,Phantom
-1233,-3192,VRX ProfPanda#Vyrox,Phantom
-1757,787,Gengar#0960,Phantom
445,-4453,Noctis#7705,Vandal
2124,-5650,Umbra#0202,Vandal
1743,-5405,Luggi#IGL,Vandal
-1603,-4314,Trashies#6767,Vandal
-1177,-2316,VRX Kawii#ECHO,Vandal
-1088,-2713,VRX ProfPanda#Vyrox,Phantom
-1579,-1955,Gengar#0960,Ares
903,353,SirBrainz#3745,Vandal
1680,-352,SirBrainz#3745,Phantom
955,-187,Fruchtig#FOKUS,Phantom
-1176,2611,VRX Kawii#ECHO,Phantom
-880,2951,VRX Saizsu#SRG,Phantom
2371,3584,VRX ProfPanda#Vyrox,Phantom
-1694,-319,Gengar#0960,Vandal
1171,2631,Noctis#7705,Vandal
492,1088,Trashies#6767,Phantom
-268,685,Umbra#0202,Phantom
3158,370,VRX Saizsu#SRG,Vandal
-1250,-610,VRX ProfPanda#Vyrox,Phantom
2023,-4716,Fruchtig#FOKUS,Phantom
-38,-2242,SirBrainz#3745,Phantom
2828,212,VRX Kawii#ECHO,Operator
-113,-5459,Gengar#0960,Vandal
