X,Y,Player,Type,Weapon,Round
-3231,-448,Trashies#6767,Death,Ghost,1
-3482,-2238,Gengar#0960,Death,Shock Bolt,1
3727,310,n0thing#01 10,Death,Stinger,2
3805,-1603,Noctis#7705,Death,Stinger,2
5279,-2871,Gengar#0960,Death,Spectre,2
3120,-494,Trashies#6767,Death,Stinger,2
4043,1314,Trashies#6767,Death,Spectre,3
4654,-3102,Gengar#0960,Death,Guardian,3
3442,357,n0thing#01 10,Death,Guardian,3
4412,-3033,Noctis#7705,Death,Guardian,3
-356,1938,n0thing#01 10,Death,Spectre,4
4017,-916,Trashies#6767,Death,Ghost,4
4150,435,Noctis#7705,Death,Vandal,4
2880,-488,Gengar#0960,Death,Vandal,4
-3594,-507,Noctis#7705,Death,Phantom,5
-3631,-2372,Trashies#6767,Death,Vandal,5
-5370,-1797,Gengar#0960,Death,Vandal,5
-3174,-545,n0thing#01 10,Death,Phantom,5
4686,-53,Trashies#6767,Death,Phantom,6
4484,-417,n0thing#01 10,Death,Phantom,6
4094,-1207,Noctis#7705,Death,Vandal,6
2575,-2920,Gengar#0960,Death,Vandal,6
-3632,-1424,Noctis#7705,Death,Phantom,7
-3889,-758,n0thing#01 10,Death,Phantom,7
-3171,-748,Gengar#0960,Death,Vandal,7
-3874,-2477,Trashies#6767,Death,Vandal,7
3031,186,n0thing#01 10,Death,Vandal,8
3725,-1218,Noctis#7705,Death,Vandal,8
4733,-169,Gengar#0960,Death,Vandal,8
4639,-3231,Trashies#6767,Death,Vandal,8
5372,-1242,Noctis#7705,Death,Vandal,9
4202,-2992,n0thing#01 10,Death,Vandal,9
3057,-627,Trashies#6767,Death,Phantom,9
3087,330,Gengar#0960,Death,Phantom,9
-2552,-1347,Noctis#7705,Death,Vandal,10
-2043,-2754,n0thing#01 10,Death,Vandal,10
-2273,-1444,Gengar#0960,Death,Vandal,10
-5098,-193,Trashies#6767,Death,Vandal,10
3677,-520,Gengar#0960,Death,Vandal,11
4131,465,n0thing#01 10,Death,Vandal,11
3704,128,Noctis#7705,Death,Vandal,11
4110,-557,Trashies#6767,Death,Vandal,11
1208,-11,Noctis#7705,Death,Vandal,12
1355,-2085,n0thing#01 10,Death,Vandal,12
1156,-2359,Gengar#0960,Death,Vandal,12
3961,-688,Trashies#6767,Death,Vandal,12
-4286,-31,Noctis#7705,Death,Classic,13
-4572,-383,n0thing#01 10,Death,Classic,13
5024,625,n0thing#01 10,Death,Classic,14
4145,-1249,n0thing#01 10,Death,Phantom,15
3737,-792,Gengar#0960,Death,Vandal,15
5056,957,Trashies#6767,Death,Vandal,15
3651,-1618,Noctis#7705,Death,Vandal,15
-4878,-2208,Noctis#7705,Death,Phantom,16
-4853,-2057,n0thing#01 10,Death,Vandal,16
-3439,-661,Gengar#0960,Death,Vandal,16
4705,-357,n0thing#01 10,Death,Vandal,17
-3666,-2500,Noctis#7705,Death,Phantom,17
5827,-1473,Trashies#6767,Death,Vandal,17
4466,-1307,Gengar#0960,Death,Vandal,17
2756,2764,Trashies#6767,Death,Classic,18
4325,1309,Noctis#7705,Death,Stinger,18
-3910,-2686,Trashies#6767,Death,Phantom,19
-5562,-1805,Noctis#7705,Death,Phantom,19
-5762,-1913,Gengar#0960,Death,Phantom,19
-4893,2307,n0thing#01 10,Death,Vandal,19
