Round,Kill_Event_Time,Player,X,Y
1,Snapshot,Noctis#7705,1020,11
1,Snapshot,Luggi#IGL,1479,2617
1,Snapshot,Noctis#7705,-772,1221
1,Snapshot,VRX Saizsu#SRG,3795,4013
1,Snapshot,Umbra#0202,-113,3862
1,Snapshot,Fruchtig#FOKUS,2932,-1786
1,Snapshot,Trashies#6767,1822,23
1,Snapshot,Luggi#IGL,1708,248
1,Snapshot,VRX ProfPanda#Vyrox,1763,-2982
1,Snapshot,SirBrainz#3745,-98,2241
1,Snapshot,Gengar#0960,922,-544
1,Snapshot,Noctis#7705,-674,1778
1,Snapshot,Trashies#6767,3759,1258
1,Snapshot,Luggi#IGL,2908,2071
1,Snapshot,VRX ProfPanda#Vyrox,2243,-785
1,Snapshot,SirBrainz#3745,1134,3389
1,Snapshot,Gengar#0960,3352,1707
1,Snapshot,Noctis#7705,-957,1744
1,Snapshot,VRX Saizsu#SRG,3938,4369
1,Snapshot,Trashies#6767,1700,46
1,Snapshot,Luggi#IGL,1969,247
1,Snapshot,VRX ProfPanda#Vyrox,3097,-2634
1,Snapshot,SirBrainz#3745,284,2266
1,Snapshot,Gengar#0960,1679,-114
1,Snapshot,Noctis#7705,1019,27
1,Snapshot,Luggi#IGL,1738,2606
1,Snapshot,VRX ProfPanda#Vyrox,3117,-44
1,Snapshot,Noctis#7705,-642,1565
1,Snapshot,Trashies#6767,3729,1259
1,Snapshot,Luggi#IGL,2869,1997
1,Snapshot,VRX ProfPanda#Vyrox,2243,-785
1,Snapshot,SirBrainz#3745,1107,3405
1,Snapshot,Noctis#7705,574,774
1,Snapshot,Luggi#IGL,2342,2898
1,Snapshot,VRX ProfPanda#Vyrox,2284,-641
1,Snapshot,SirBrainz#3745,1141,3473
1,Snapshot,Noctis#7705,-764,1100
1,Snapshot,VRX Saizsu#SRG,3796,4015
1,Snapshot,Fruchtig#FOKUS,2823,-1706
1,Snapshot,Trashies#6767,1818,26
1,Snapshot,Luggi#IGL,1708,248
1,Snapshot,VRX ProfPanda#Vyrox,1878,-2982
1,Snapshot,SirBrainz#3745,-83,2242
1,Snapshot,Gengar#0960,987,-538
2,Snapshot,Noctis#7705,-1266,-5189
2,Snapshot,VRX Saizsu#SRG,3188,-2769
2,Snapshot,Umbra#0202,1529,-4958
2,Snapshot,Trashies#6767,754,-4565
2,Snapshot,Luggi#IGL,1268,-5211
2,Snapshot,VRX ProfPanda#Vyrox,2706,-4428
2,Snapshot,SirBrainz#3745,2442,-4593
2,Snapshot,Gengar#0960,-1340,-847
2,Snapshot,Noctis#7705,1075,-5353
2,Snapshot,VRX Saizsu#SRG,2744,-3433
