,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Player,Map,Agent,ACS,Kills,Deaths,Assists,FK,FD,ADR,HS%,KD,KDA,,Luggi,,,,,,Sofi,,,,
09/05/2025,Luggi,Haven,Sova,179,11,13,15,0,1,129,13,"0,85","2,00",,Map,ACS,KD,FK/FD Ratio,Rating,,Map,ACS,KD,FK/FD Ratio,Rating
09/05/2025,Andrei,Haven,Yoru,246,22,18,3,5,5,141,21,"1,22","1,39",,Haven,120,"0,52",0 / 4,"0,6",,Haven,207,"0,97",4 / 2,"2,0"
09/05/2025,Sofi,Haven,Omen,188,18,18,6,1,1,112,30,"1,00","1,33",,Bind,220,"1,18",2 / 0,"2,6",,Bind,0,"0,00",0 / 0,"0,0"
09/05/2025,Luca,Haven,Iso,181,14,18,8,2,4,132,18,"0,78","1,22",,Fracture,0,"0,00",0 / 0,"0,0",,Fracture,0,"0,00",0 / 0,"0,0"
09/05/2025,Benni,Haven,Cypher,137,11,17,6,2,3,95,35,"0,65","1,00",,Breeze,0,"0,00",0 / 0,"0,0",,Breeze,0,"0,00",0 / 0,"0,0"
10/05/2025,Luggi,Haven,Sova,61,3,16,1,0,3,42,12,"0,19","0,25",,Ascent,212,"0,87",1 / 2,"1,8",,Ascent,59,"0,18",0 / 6,"0,1"
10/05/2025,Andrei,Haven,Yoru,322,22,15,3,2,3,210,23,"1,47","1,67",,Icebox,183,"1,02",2 / 3,"1,9",,Icebox,258,"1,51",8 / 1,"3,9"
10/05/2025,Sofi,Haven,Omen,226,15,16,7,3,1,143,29,"0,94","1,38",,Lotus,150,"0,77",4 / 11,"1,2",,Lotus,268,"1,76",11 / 5,"4,7"
10/05/2025,Luca,Haven,Iso,198,15,16,1,0,2,129,18,"0,94","1,00",,Pearl,157,"0,97",3 / 0,"1,5",,Pearl,206,"0,96",8 / 2,"2,0"
10/05/2025,Benni,Haven,Cypher,172,10,14,0,0,1,69,23,"0,71","0,71",,Split,0,"0,00",0 / 0,"0,0",,Split,0,"0,00",0 / 0,"0,0"
14/03/2025,Andrei,Lotus,Raze,391,25,11,5,2,1,249,18,"2,27","2,73",,Sunset,0,"0,00",0 / 0,"0,0",,Sunset,0,"0,00",0 / 0,"0,0"
14/03/2025,Sofi,Lotus,Omen,314,20,9,9,4,2,218,25,"2,22","3,22",,Abyss,0,"0,00",0 / 0,"0,0",,Abyss,0,"0,00",0 / 0,"0,0"
14/03/2025,Benni,Lotus,Vyse,231,16,9,3,1,1,161,68,"1,78","2,11",,Total,162,"0,83",12 / 25,"1,3",,Total,225,"1,18",31 / 16,"2,7"
14/03/2025,Luggi,Lotus,Fade,145,8,10,9,0,2,90,10,"0,80","1,70",,,,,,,,,,,,
14/03/2025,Remus,Lotus,Viper,139,9,12,4,1,3,92,17,"0,75","1,08",,Luca,,,,,,Benni,,,,
15/03/2025,Andrei,Lotus,Raze,272,17,14,4,3,1,185,27,"1,21","1,50",,Map,ACS,KD,FK/FD Ratio,Rating,,Map,ACS,KD,Map,Rating
15/03/2025,Sofi,Lotus,Omen,346,24,11,4,3,0,220,27,"2,18","2,55",,Haven,190,"0,86",2 / 6,"1,6",,Haven,155,"0,68",2 / 4,"1,1"
15/03/2025,Benni,Lotus,Vyse,181,13,11,7,2,1,123,26,"1,18","1,82",,Bind,210,"0,95",3 / 0,"2,0",,Bind,249,"1,24",4 / 0,"3,1"
15/03/2025,Luggi,Lotus,Fade,156,11,12,8,1,3,103,20,"0,92","1,58",,Fracture,0,"0,00",0 / 0,"0,0",,Fracture,0,"0,00",0 / 0,"0,0"
