User Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Auto Calcultation,Unnamed: 13,Unnamed: 14,Unnamed: 15,VOD LINK,Unnamed: 17,Unnamed: 18,Unnamed: 19,COMP,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,MatchID_Internal,Retake W,Retake L,Postplant W,Postplant L
,,Game Information,,,Pistols,,DEF Rounds,,ATK Rounds,,Score,,,,,,,,,,,,,,,0,0,0,0
#,Seson,Date,Type,Map,DEF,ATK,W,L,W,L,,You,Enemy,W/L,+/-,,,,,,,,,,MatchID,0,0,0,0
1,E8A3,08.05.2024,Performance Scrim,Bind,1,0,7,8,8,8,,15,16,L,-1,-,,,,Clove,Viper,Skye,Gekko,Raze,,0,0,0,0
2,E8A3,09.05.2024,Offical,Bind,0,1,5,6,8,4,,13,10,W,3,-,,,,Clove,Viper,Skye,Gekko,Raze,,0,0,0,0
3,E8A3,09.05.2024,Offical,Bind,1,0,6,6,3,7,,9,13,L,-4,https://youtu.be/43PG7yv9qGs?si=zAnm5E9irIS9kzMG,,,,Clove,Viper,Skye,Gekko,Raze,,0,0,0,0
4,E8A3,15.05.2024,Performance Scrim,Lotus,0,0,0,4,3,9,,3,13,L,-10,-,,,,Omen,Viper,Fade,Killjoy,Raze,,0,0,0,0
5,E8A3,16.05.2024,Offical,Lotus,1,0,11,1,2,2,,13,3,W,10,https://youtu.be/lme5fzl1a-4?si=QFAH8e-MME6h3Ezp,,,,Omen,Viper,Fade,Killjoy,Raze,,0,0,0,0
6,E8A3,16.05.2024,Offical,Lotus,1,0,2,2,11,1,,13,3,W,10,https://youtu.be/M5fiSLuk2qo?si=4VmborOYrhk0b_qo,,,,Omen,Viper,Fade,Killjoy,Raze,,0,0,0,0
7,E8A3,05.06.2024,Performance Scrim,Breeze,1,1,11,1,2,0,,13,1,W,12,https://youtu.be/yKDvtSwRwAI?si=xaH4-Ulf6ajgQyeK,,,,Viper,Kay/o,Sova,Cypher,Yoru,,0,0,0,0
8,E8A3,06.06.2024,Offical,Breeze,0,1,7,2,6,6,,13,8,W,5,https://youtu.be/Yn12D07HHtU?si=dBnbKcOcUp-t1CZG,,,,Viper,Kay/o,Sova,Cypher,Yoru,,0,0,0,0
9,E8A3,06.06.2024,Offical,Breeze,1,0,6,7,6,7,,12,14,L,-2,https://youtu.be/wAl_C8sQZBw?si=Bc8Gj-L5emIzJutv,,,,Viper,Kay/o,Sova,Cypher,Yoru,,0,0,0,0
10,E8A3,12.06.2024,Performance Scrim,Split,1,1,4,6,5,7,,9,13,L,-4,https://youtu.be/LTrJZiHhFTI?si=hEBY9-o2y7l-ZPqi,,,,Omen,Viper,Skye,Cypher,Raze,,0,0,0,0
11,E8A3,13.06.2024,Offical,Split,0,1,1,6,5,7,,6,13,L,-7,https://youtu.be/6sDw9x7Gbjs?si=dni4lkx6Z6nwvHrc,,,,Omen,Viper,Skye,Cypher,Raze,,0,0,0,0
12,E8A3,13.06.2024,Offical,Split,0,1,4,6,5,7,,9,13,L,-4,-,,,,Omen,Viper,Skye,Cypher,Raze,,0,0,0,0
13,E8A3,16.05.2024,Offical,,0,1,10,2,3,1,,13,3,W,10,-,,,,Omen,Viper,Fade,Killjoy,Raze,,0,0,0,0
14,E9A2,04.09.2024,Performance Scrim,Haven,1,0,5,6,5,7,,10,13,L,-3,https://youtu.be/Wo6KK9ep00w?si=XYRXyxqd4j5oD4cd,,,,Omen,Viper,Sova,Yoru,Killjoy,,0,0,0,0
15,E9A2,05.09.2024,Offical,Haven,0,0,1,6,5,7,,6,13,L,-7,https://youtu.be/_9zFOll4C5Y?si=3Vc0mxAo0xKzXgYb,,,,Omen,Viper,Sova,Yoru,Killjoy,,0,0,0,0
16,E9A2,05.09.2024,Offical,Haven,0,0,4,8,7,5,,11,13,L,-2,https://youtu.be/Y2I8_MG7FWE?si=Quq0ylJB-eOXhjsY,,,,Omen,Viper,Sova,Yoru,Killjoy,,0,0,0,0
17,E9A2,11.09.2024,Performance Scrim,Sunset,0,1,6,6,5,7,,11,13,L,-2,https://youtu.be/b-TkzpV8Yr8?si=PRbVGX5HO6paIYom,,,,Astra,Vyse,Sova,Breach,Neon,,0,0,0,0
18,E9A2,12.09.2024,Offical,Sunset,0,1,4,8,6,5,,10,13,L,-3,https://youtu.be/GiNFYoOfW4k?si=kpNu4IERyDvbAQNm,,,,Astra,Vyse,Sova,Breach,Neon,,0,0,0,0
19,E9A2,14.09.2024,Offical,Sunset,0,1,4,8,9,3,,13,11,W,2,https://youtu.be/p9HSf_o6Q0k?si=Lz-jG_vWFLNzZBkm,,,,Gekko,Omen,Cypher,Sova,Raze,,0,0,0,0
20,E9A2,18.09.2024,Performance Scrim,Lotus,0,0,0,9,8,4,,8,13,L,-5,https://youtu.be/gxw3-Pzkcqs?si=Xxo-zHuQ_0ybU94g,,,,Viper,Omen,Killjoy,Fade,Raze,,0,0,0,0
21,E9A2,19.09.2024,Offical,Lotus,1,1,5,5,8,4,,13,9,W,4,https://youtu.be/rO0_sSaIoQ0?si=nO_SPIc64ijkFrrt,,,,Viper,Omen,Killjoy,Fade,Raze,,0,0,0,0
22,E9A2,19.09.2024,Offical,Lotus,1,1,4,2,9,3,,13,5,W,8,https://youtu.be/F2Lj4-EzpLI?si=ZMH3eW2urGF_SR2x,,,,Viper,Omen,Killjoy,Fade,Raze,,0,0,0,0
23,E9A2,25.09.2024,Performance Scrim,Abyss,0,1,0,5,4,8,,4,13,L,-9,https://youtu.be/T_ytkJM2znY?si=6_1RbY2Y0YkKtij0,,,,Harbor,Omen,Killjoy,Sova,Jett,,0,0,0,0
24,E9A2,26.09.2024,Offical,Abyss,1,1,4,0,9,3,,13,3,W,10,https://youtu.be/Ll0luDxT_cY?si=L3FWhjSq8Zg02eVR,,,,Harbor,Omen,Cypher,Sova,Jett,,0,0,0,0
25,E9A2,26.09.2024,Offical,Abyss,0,1,6,6,7,0,,13,6,W,7,https://youtu.be/FUuYJ_94dBs?si=UQSfEMFV9nNmdfMt,,,,Harbor,Omen,Chamber,Sova,Jett,,0,0,0,0
26,E9A2,02.10.2024,Performance Scrim,Ascent,0,1,9,3,4,3,,13,6,W,7,https://youtu.be/CkDVkRlKpJQ?si=TA47sZ0oefGZDqFw,,,,Killjoy,Omen,KAY/O,Sova,Jett,,0,0,0,0
27,E9A2,03.10.2024,Offical,Ascent,1,1,5,9,10,4,,15,13,W,2,https://youtu.be/2mjVP6JweqI?si=lyKkuzwKFfdOdEel,,,,Killjoy,Omen,KAY/O,Sova,Jett,,0,0,0,0
28,E9A2,09.10.2024,Performance Scrim,Icebox,1,1,6,6,7,5,,13,11,W,2,https://youtu.be/OQs2jIj44Dg?si=TyMkK3BM8z9IRUVw,,,,Viper,Sage,Gekko,Sova,Killjoy,,0,0,0,0
29,E9A2,09.10.2024,Performance Scrim,Icebox,1,0,6,6,7,0,,13,6,W,7,https://youtu.be/Alikuk7ZVhA?si=2uEbYfmWTVA2FesV,,,,Viper,Sage,Gekko,Sova,Killjoy,,0,0,0,0
30,E9A2,10.10.2024,Offical,Icebox,1,0,10,2,3,2,,13,4,W,9,https://youtu.be/51NaAXJISkY?si=dwxxmMxdTqffgVeW,,,,Viper,Sage,Gekko,Sova,Killjoy,,0,0,0,0
31,E9A2,10.10.2024,Offical,Icebox,0,0,6,6,3,7,,9,13,L,-4,https://youtu.be/epT-S5V_R5Q?si=Zh20GhH5kwjb1xYI,,,,Viper,Sage,Gekko,Sova,Killjoy,,0,0,0,0
32,E9A2,16.10.2024,Strategy Scrim,Bind,1,1,6,6,7,4,,13,10,W,3,https://youtu.be/NcK3hx1ju0E?si=T_KQvLvnjZRqHAhO,,,,Astra,Raze,Cypher,Gekko,Iso,,0,0,0,0
33,E9A2,17.10.2024,Offical,Bind,1,1,8,4,5,1,,13,5,W,8,https://youtu.be/rLly5ZDpKuU?si=GEPpql2grs-6lW8f,,,,Astra,Raze,Cypher,Gekko,Iso,,0,0,0,0
34,E9A2,17.10.2024,Offical,Bind,0,1,11,1,2,2,,13,3,W,10,https://youtu.be/2bl0KHXKywE?si=IMsYhLhil8uBOXLL,,,,Astra,Raze,Cypher,Gekko,Iso,,0,0,0,0
35,V25A1,15.01.2025,Strategy Scrim,Split,1,0,8,4,5,3,,13,7,W,6,https://www.youtube.com/watch?v=1XhW7f95N7A,,,https://youtu.be/NGnF51nl_iM?si=hUsx7BVDLuxQuutw,Cypher,Omen,Raze,Breach,Yoru,,0,0,0,0
36,V25A1,16.01.2025,Offical,Split,0,1,9,3,4,1,,13,4,W,9,https://www.youtube.com/watch?v=ccuOvixCDxk,,,,Cypher,Omen,Raze,Breach,Yoru,,0,0,0,0
37,V25A1,16.01.2025,Offical,Split,0,0,2,10,1,3,,3,13,L,-10,-,,,,Cypher,Omen,Raze,Breach,Yoru,,0,0,0,0
38,V25A1,22.01.2025,Performance Scrim,Haven,1,1,7,5,6,6,,13,11,W,2,https://www.youtube.com/watch?v=-0ZBJlVfQww&list=PLqdLL4Iya-MxlkI01XQU-ZWdzOaVSIQpV,,,,Cypher,Omen,Iso,Sova,Yoru,,0,0,0,0
39,V25A1,23.01.2025,Offical,Haven,0,0,3,9,6,4,,9,13,L,-4,https://youtu.be/Gsv7YTWtu4M?si=8y_FhDIoDPKw7x89,,,,Cypher,Omen,Iso,Sova,Yoru,,0,0,0,0
40,V25A1,23.01.2025,Offical,Haven,1,0,5,9,10,4,,15,13,W,2,https://youtu.be/XclFN8xAy18?si=9UZOomuzTNxlqirT,,,,Cypher,Omen,Iso,Sova,Yoru,,0,0,0,0
41,V25A1,29.01.2025,Strategy Scrim,Fracture,0,1,1,5,4,8,,5,13,L,-8,https://www.youtube.com/watch?v=Upq2JGWNdqc,,,,Sova,Brimstone,Killjoy,Breach,Raze,,0,0,0,0
42,V25A1,30.01.2025,Offical,Fracture,0,0,6,10,9,6,,15,16,L,-1,https://youtu.be/IvFsi2LgoMY?si=F7DPqe1yNVzPUSl3,,,,Sova,Brimstone,Killjoy,Breach,Raze,,0,0,0,0
43,V25A1,12.02.2025,Performance Scrim,Pearl,1,0,7,5,3,8,,10,13,L,-3,https://www.youtube.com/watch?v=SK2rtUvx-K4,,,,Astra,Viper,Killjoy,Sova,Yoru,,0,0,0,0
44,V25A1,13.02.2025,Offical,Pearl,1,1,7,6,5,8,,12,14,L,-2,https://www.youtube.com/watch?v=LGN7rVB1j38&list=PLqdLL4Iya-MxlkI01XQU-ZWdzOaVSIQpV&index=10,,,,Astra,Viper,Killjoy,Sova,Yoru,,0,0,0,0
45,V25A1,14.01.2025,"Ranked ""Scrim""",Pearl,0,0,1,7,6,6,,7,13,L,-6,https://www.youtube.com/watch?v=W85PoK-5Qiw,,,,Astra,Viper,Killjoy,Sova,Yoru,,0,0,0,0
46,V25A1,15.02.2025,Offical,Pearl,1,1,2,5,4,8,,6,13,L,-7,https://www.youtube.com/watch?v=ntCgjqQpgu8,,,,Astra,Tejo,Killjoy,Sova,Yoru,,0,0,0,0
47,V25A1,14.02.2025,"Ranked ""Scrim""",Bind,0,1,4,3,9,3,,13,6,W,7,https://www.youtube.com/watch?v=23H-dDVbl-k,,,,Fade,Brimstone,Vyse,Gekko,Jett,,0,0,0,0
48,V25A1,14.02.2025,"Ranked ""Scrim""",Bind,1,0,10,4,5,9,,15,13,W,2,https://www.youtube.com/watch?v=7dFCxH4l2Yo,,,,Tejo,Brimstone,Deadlock,Gekko,Jett,,0,0,0,0
49,V25A1,21.02.2025,Strategy Scrim,Bind,1,1,6,2,7,5,,13,7,W,6,https://www.youtube.com/watch?v=YV-OIl9Fk8s,,,Note: Scrim Troller,Tejo,Brimstone,Viper,Gekko,Raze,,0,0,0,0
50,V25A1,22.02.2025,Offical,Bind,0,1,2,10,4,3,,6,13,L,-7,https://www.youtube.com/watch?v=hAVYUSyujYU,,,,Tejo,Brimstone,Viper,Gekko,Raze,,0,0,0,0
51,V25A1,22.02.2025,Offical,Bind,1,1,3,9,5,4,,8,13,L,-5,-,,,,Tejo,Brimstone,Viper,Gekko,Raze,,0,0,0,0
52,V25A2,02.03.2025,"Ranked ""Scrim""",Lotus,0,1,6,6,7,1,,13,7,W,6,https://www.youtube.com/watch?v=2f9QI0l7ws4,,,G2 Comp ,Tejo,Omen,Viper,Breach,Yoru,,0,0,0,0
53,V25A2,14.03.2025,Strategy Scrim,Lotus,1,1,3,0,10,2,,13,2,W,11,https://www.youtube.com/watch?v=M-V78BipJrs,,,,Tejo,Omen,Viper,Breach,Yoru,,0,0,0,0
54,V25A2,15.03.2025,Offical,Lotus,1,1,4,4,9,3,,13,7,W,6,https://www.youtube.com/watch?v=A9Oh9VVGWAc,,,,Tejo,Omen,Viper,Breach,Yoru,,0,0,0,0
55,V25A2,15.03.2025,Offical,Lotus,1,0,5,2,8,4,,13,6,W,7,https://www.youtube.com/watch?v=zJbxueuRs84,,,,Tejo,Omen,Viper,Breach,Yoru,,0,0,0,0
56,V25A2,14.03.2025,"Ranked ""Scrim""",Haven,0,0,5,7,8,4,,13,11,W,2,https://www.youtube.com/watch?v=dQpn58KG3H0,,,,Tejo,Omen,Cypher,Breach,Jett,,0,0,0,0
57,V25A2,22.03.2025,Offical,Pearl,0,0,7,5,6,4,,13,9,W,4,https://www.youtube.com/watch?v=yy6hroUkm04,,,,Sova,Astra,Vyse,Chamber,Yoru,,0,0,0,0
58,V25A2,23.03.2025,Offical,Pearl,0,0,4,6,9,3,,13,9,W,4,https://www.youtube.com/watch?v=w8CScvvlMIM,,,,Sova,Astra,Vyse,Chamber,Yoru,,0,0,0,0
59,V25A2,28.03.2025,Performance Scrim,Split,0,1,3,10,9,4,,12,14,L,-2,https://www.youtube.com/watch?v=aamnB6RHmzU,,,,Tejo,Astra,Deadlock,Breach,Raze,,0,0,0,0
60,V25A2,29.03.2025,Offical,Split,0,0,5,10,9,6,,14,16,L,-2,https://www.youtube.com/watch?v=mCtIiDU7d8I,,,,Tejo,Astra,Deadlock,Breach,Raze,,0,0,0,0
61,V25A2,30.03.2025,Offical,Split,1,0,8,4,5,6,,13,10,W,3,https://www.youtube.com/watch?v=mCtIiDU7d8I,,,,Tejo,Astra,Deadlock,Breach,Raze,,0,0,0,0
62,V25A2,02.04.2025,Performance Scrim,Ascent,0,0,7,7,8,6,,15,13,W,2,https://www.youtube.com/watch?v=E_PiaDaKKKE,,,,Tejo,Omen,Deadlock,Vyse,Yoru,,0,0,0,0
63,V25A2,03.04.2025,Offical,Ascent,1,0,2,5,4,8,,6,13,L,-7,-,,,...,Tejo,Omen,Deadlock,Vyse,Yoru,,0,0,0,0
64,V25A2,03.04.2025,Offical,Ascent,0,0,3,5,4,8,,7,13,L,-6,-,,,random comp,Sova,Omen,Cypher,Phoenix,Jett,,0,0,0,0
65,V25A2,09.04.2025,Strategy Scrim,Fracture,0,0,2,3,2,10,,4,13,L,-9,https://www.youtube.com/watch?v=v-ugKuWXyME&feature=youtu.be,,,,Tejo,Brimstone,Cypher,Breach,Neon,,0,0,0,0
66,V25A2,10.04.2025,Offical,Fracture,1,1,6,6,7,3,,13,9,W,4,www.youtube.com/watch?v=MmqYt_MXf4I&feature=youtu.be,,,,Tejo,Brimstone,Vyse,Breach,Neon,,0,0,0,0
67,V25A2,10.04.2025,Offical,Fracture,1,1,7,5,4,8,,11,13,L,-2,https://www.youtube.com/watch?v=eB-jqtsRYgU,,,,Tejo,Brimstone,Vyse,Breach,Neon,,0,0,0,0
68,Playoffs,27.04.2025,Offical,Pearl,0,0,3,5,4,8,,7,13,L,-6,,,,,Astra,Sova,Vyse,Chamber,Yoru,,0,0,0,0
69,V25A3,03.05.2025,"Ranked ""Scrim""",Sunset,1,0,7,5,6,2,,13,7,W,6,https://youtu.be/T-bNBA3dF3M,,,,Omen,Breach,Fade,Neon,Cypher,,0,0,0,0
70,V25A3,03.05.2025,"Ranked ""Scrim""",Icebox,1,0,2,3,2,10,,4,13,L,-9,https://youtu.be/HoyamMbL3cg,,,,Omen,Viper,Kay/O,Gekko,Killjoy,,0,0,0,0
71,V25A3,09.05.2025,Strategy Scrim,Haven,0,0,5,7,6,6,,11,13,L,-2,https://www.youtube.com/watch?v=brpJ70vkals&list=PLqdLL4Iya-Mz8ADdQAyNNREUUzp3spzH-&index=5,,,,Cypher,Omen,Iso,Sova,Yoru,,0,0,0,0
72,V25A3,10.05.2025,Offical,Haven,1,1,4,1,8,4,,12,5,W,7,https://www.youtube.com/watch?v=_lq4aBqN6no,,,fade: not loading in,Cypher,Fade,Iso,Sova,Yoru,,0,0,0,0
73,V25A3,11.05.2025,Offical,Haven,1,0,3,5,4,8,,7,13,L,-6,https://www.youtube.com/watch?v=6WuNqKloArM,,,,Cypher,Omen,Iso,Sova,Yoru,,0,0,0,0
74,V25A3,14.05.2025,Strategy Scrim,Lotus,0,1,4,1,9,3,,13,4,W,9,-,,,,Omen,Viper,Fade,Vyse,Raze,,0,0,0,0
75,V25A3,15.05.2025,Offical,Lotus,1,0,7,0,6,6,,13,6,W,7,https://youtu.be/K8-3sIwtbKo,,,,Omen,Viper,Fade,Vyse,Raze,,0,0,0,0
76,V25A3,15.05.2025,Offical,Lotus,1,1,3,9,4,4,,7,13,L,-6,https://www.youtube.com/watch?v=G-iFoqzcEOk,,,,Omen,Viper,Fade,Vyse,Raze,,0,0,0,0
77,V25A3,21.05.2025,Strategy Scrim,Sunset,1,0,4,8,2,5,,6,13,L,-7,https://www.youtube.com/watch?v=odbDHzNs8y0,,,,Omen,Breach,Fade,Neon,Cypher,,0,0,0,0
78,V25A3,22.05.2025,Offical,Sunset,0,1,3,9,3,4,,6,13,L,-7,https://www.youtube.com/watch?v=oM0M7L2Ul8E,,,,Omen,Breach,Fade,Neon,Cypher,,0,0,0,0
