Date,Map,Result,VOD_Link,Score_Us,Score_Enemy,MatchID,MyComp_1,MyComp_2,MyComp_3,MyComp_4,MyComp_5,Pistol_Def_W,Pistol_Atk_W,Def_R_W,Def_R_L,Atk_R_W,Atk_R_L,Source,EnComp_1,EnComp_2,EnComp_3,EnComp_4,EnComp_5,Delta,DateObj
08.05.2024,Bind,L,-,15.0,16.0,,Clove,Viper,Skye,Gekko,Raze,1.0,0.0,7.0,8.0,8.0,8.0,Legacy,,,,,,-1.0,2024-05-08
09.05.2024,Bind,W,-,13.0,10.0,,Clove,Viper,Skye,Gekko,Raze,0.0,1.0,5.0,6.0,8.0,4.0,Legacy,,,,,,3.0,2024-05-09
09.05.2024,Bind,L,https://youtu.be/43PG7yv9qGs?si=zAnm5E9irIS9kzMG,9.0,13.0,,Clove,Viper,Skye,Gekko,Raze,1.0,0.0,6.0,6.0,3.0,7.0,Legacy,,,,,,-4.0,2024-05-09
15.05.2024,Lotus,L,-,3.0,13.0,,Omen,Viper,Fade,Killjoy,Raze,0.0,0.0,0.0,4.0,3.0,9.0,Legacy,,,,,,-10.0,2024-05-15
16.05.2024,Lotus,W,https://youtu.be/lme5fzl1a-4?si=QFAH8e-MME6h3Ezp,13.0,3.0,,Omen,Viper,Fade,Killjoy,Raze,1.0,0.0,11.0,1.0,2.0,2.0,Legacy,,,,,,10.0,2024-05-16
16.05.2024,Lotus,W,https://youtu.be/M5fiSLuk2qo?si=4VmborOYrhk0b_qo,13.0,3.0,,Omen,Viper,Fade,Killjoy,Raze,1.0,0.0,2.0,2.0,11.0,1.0,Legacy,,,,,,10.0,2024-05-16
05.06.2024,Breeze,W,https://youtu.be/yKDvtSwRwAI?si=xaH4-Ulf6ajgQyeK,13.0,1.0,,Viper,Kay/o,Sova,Cypher,Yoru,1.0,1.0,11.0,1.0,2.0,0.0,Legacy,,,,,,12.0,2024-06-05
06.06.2024,Breeze,W,https://youtu.be/Yn12D07HHtU?si=dBnbKcOcUp-t1CZG,13.0,8.0,,Viper,Kay/o,Sova,Cypher,Yoru,0.0,1.0,7.0,2.0,6.0,6.0,Legacy,,,,,,5.0,2024-06-06
06.06.2024,Breeze,L,https://youtu.be/wAl_C8sQZBw?si=Bc8Gj-L5emIzJutv,12.0,14.0,,Viper,Kay/o,Sova,Cypher,Yoru,1.0,0.0,6.0,7.0,6.0,7.0,Legacy,,,,,,-2.0,2024-06-06
12.06.2024,Split,L,https://youtu.be/LTrJZiHhFTI?si=hEBY9-o2y7l-ZPqi,9.0,13.0,,Omen,Viper,Skye,Cypher,Raze,1.0,1.0,4.0,6.0,5.0,7.0,Legacy,,,,,,-4.0,2024-06-12
